#{"t_start": 1764620712.246473, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
12.0,1753,16619.635911
19.0,3469,16676.641739
44.0,4358,16733.310666
29.0,3664,16775.45632
21.0,3576,16828.528584
33.0,3908,16880.026576
36.0,3260,16923.820037
39.0,3703,16977.523254
28.0,3924,17040.011889
23.0,2848,17076.616008
9.0,1327,17098.22093
32.0,3334,17145.137716
52.0,3993,17214.939146
21.0,3138,17254.820157
30.0,2653,17285.259138
30.0,3225,17330.894746
24.0,2958,17386.040369
38.0,3939,17436.216027
49.0,4933,17502.50351
19.0,2302,17531.292954
40.0,4143,17598.327305
30.0,2995,17632.662039
25.0,3103,17671.768437
45.0,4215,17733.752324
31.0,3233,17772.348591
6.0,1348,17784.582718
42.0,4764,17836.095678
28.0,3069,17882.209289
35.0,3651,17923.979688
21.0,2560,17954.818747
49.0,4437,18007.427351
38.0,3742,18062.999264
41.0,4189,18109.577969
26.0,3363,18144.161325
16.0,2712,18172.774987
29.0,3665,18224.046096
35.0,3454,18263.072789
50.0,4890,18315.553317
22.0,3163,18372.888113
42.0,3929,18417.652523
63.0,5304,18483.846458
37.0,4157,18542.764071
40.0,3226,18577.23016
27.0,3408,18616.655769
11.0,1661,18633.968366
15.0,1680,18651.291648
50.0,5566,18724.023717
47.0,4319,18770.233681
39.0,4309,18833.094279
46.0,3827,18878.212993
31.0,4014,18923.52162
51.0,5246,18994.068314
23.0,2675,19022.775973
20.0,2310,19046.17421
37.0,3768,19086.586434
36.0,4267,19143.359114
31.0,3836,19187.820805
28.0,3761,19228.118553
56.0,5182,19302.217375
36.0,4217,19347.719269
19.0,2649,19376.118007
31.0,4468,19443.165435
19.0,3242,19480.216075
13.0,2555,19508.365085
39.0,4703,19559.14014
36.0,4446,19618.753429
31.0,4573,19669.299324
21.0,2563,19697.444077
21.0,2959,19741.626706
46.0,4240,19787.218239
57.0,4481,19837.729014
32.0,3304,19872.304431
34.0,3412,19922.185997
18.0,3202,19956.26271
56.0,5511,20017.792919
55.0,4777,20081.42417
44.0,4215,20127.308331
17.0,2499,20155.121929
42.0,3982,20210.823207
51.0,4888,20262.405382
28.0,3437,20301.589502
29.0,3447,20349.628174
36.0,3709,20389.666342
49.0,5087,20446.192939
38.0,4152,20504.678712
42.0,4176,20550.003268
72.0,5672,20612.272051
40.0,3998,20671.081463
75.0,6638,20744.547812
43.0,3733,20784.268746
48.0,4178,20842.664432
19.0,2826,20871.576092
65.0,6135,20956.497283
31.0,3696,20996.270151
34.0,2915,21029.234982
30.0,3684,21069.062485
41.0,4454,21129.898052
33.0,4306,21179.824396
60.0,5412,21237.247825
49.0,5012,21307.232735
28.0,3889,21347.784602
29.0,2761,21376.661284
39.0,4439,21438.249666
47.0,4108,21484.836724
45.0,4690,21537.848161
20.0,3073,21584.917332
26.0,2130,21608.032192
34.0,3782,21648.644953
23.0,2872,21677.770083
37.0,3877,21733.483986
53.0,4930,21786.401851
67.0,5856,21854.180811
19.0,2971,21895.333539
32.0,2849,21928.870338
54.0,5717,21998.522646
49.0,3783,22065.848595
20.0,3086,22099.938141
48.0,4374,22145.923199
38.0,4112,22207.879193
51.0,5468,22285.217917
64.0,5025,22337.562143
21.0,2813,22382.398029
19.0,3037,22412.140826
21.0,2482,22439.781117
43.0,4266,22485.616825
40.0,4886,22555.777968
37.0,4957,22607.374989
42.0,4665,22669.811686
33.0,3302,22708.453005
50.0,5062,22760.524112
31.0,4540,22821.491179
42.0,4487,22872.490906
33.0,3681,22912.144708
24.0,3117,22946.058127
30.0,2339,22982.090412
38.0,3876,23027.744983
33.0,3733,23069.044477
44.0,4437,23127.588317
38.0,3370,23167.247097
33.0,3702,23216.574918
62.0,4749,23269.806222
20.0,2386,23310.712659
23.0,3250,23348.885079
34.0,4110,23393.967427
41.0,4167,23452.325664
26.0,3509,23487.744212
78.0,5893,23564.418544
29.0,4057,23640.127504
17.0,1848,23669.27447
25.0,3282,23714.249435
49.0,3856,23758.740221
43.0,4595,23822.568816
34.0,4249,23872.455011
43.0,4784,23923.989323
50.0,4965,23989.590279
43.0,4569,24043.22623
21.0,3218,24077.517158
53.0,4269,24140.379655
44.0,3987,24180.800516
27.0,3009,24214.453464
45.0,4247,24274.873499
31.0,4063,24320.557293
43.0,4426,24366.967449
30.0,2510,24411.910325
22.0,3327,24446.644442
43.0,4077,24491.923388
52.0,4697,24543.112944
60.0,5902,24625.545478
18.0,2588,24653.525245
34.0,3291,24688.094949
40.0,3330,24736.774161
21.0,2950,24770.776817
45.0,3993,24815.87223
47.0,4028,24868.853513
28.0,3479,24909.304906
29.0,3769,24950.5295
38.0,4004,24997.452125
35.0,3942,25056.790141
46.0,4604,25103.255468
35.0,3966,25147.844364
76.0,5507,25220.729696
30.0,3103,25254.370602
25.0,3682,25294.190248
41.0,4460,25352.251631
56.0,4998,25408.213675
24.0,3297,25453.176414
34.0,3175,25508.809308
62.0,5973,25587.498804
44.0,4397,25639.956019
32.0,4071,25705.814244
34.0,4402,25764.229817
44.0,4026,25811.840117
57.0,4900,25894.652368
27.0,3022,25928.40224
29.0,2988,25957.921729
46.0,4474,26021.844246
34.0,4012,26066.966928
27.0,3456,26101.790906
38.0,4194,26161.927624
31.0,4137,26207.300869
39.0,3743,26247.372643
37.0,4603,26312.012358
37.0,3978,26356.782297
49.0,3131,26390.758777
32.0,3722,26430.708983
32.0,3290,26480.898978
31.0,3554,26528.092341
38.0,3303,26564.040814
44.0,3977,26608.79604
21.0,1567,26641.82787
30.0,3396,26677.145217
50.0,5225,26734.813244
57.0,5345,26813.825196
23.0,3127,26848.284596
38.0,3993,26889.536254
62.0,4661,26958.192644
38.0,3979,27003.83926
33.0,3381,27043.093519
54.0,4413,27107.560219
33.0,3307,27146.017575
44.0,4347,27203.368929
44.0,4456,27259.870031
39.0,3093,27319.974041
55.0,4969,27386.013827
45.0,4186,27432.639949
57.0,5119,27510.79959
46.0,4443,27565.250256
39.0,3849,27633.923584
42.0,3687,27677.395545
56.0,3626,27714.036487
48.0,4531,27766.77871
37.0,3773,27826.681778
32.0,2966,27860.829436
24.0,3337,27897.476523
80.0,6532,27993.042474
25.0,3956,28047.757091
63.0,5231,28116.30582
31.0,3474,28165.051981
71.0,5770,28232.176572
55.0,5670,28307.031165
73.0,5016,28361.967209
49.0,5492,28423.931586
37.0,4371,28483.960211
50.0,4749,28534.629586
32.0,4233,28597.482929
38.0,4727,28661.498654
59.0,4061,28708.962289
51.0,4124,28792.012295
51.0,4861,28857.922203
19.0,2790,28903.043475
42.0,3206,28951.01639
26.0,3100,29014.690718
45.0,4840,29080.143738
51.0,4515,29135.311224
52.0,5044,29224.815005
40.0,5181,29286.04257
30.0,4424,29361.343583
29.0,3167,29397.180158
56.0,4705,29451.493842
44.0,3245,29486.610179
30.0,3225,29540.180181
39.0,4381,29591.649444
37.0,4297,29643.201591
40.0,3944,29708.149836
18.0,2606,29743.983642
54.0,4805,29810.699552
45.0,3488,29882.610317
66.0,5463,29958.723662
53.0,5132,30026.421179
44.0,4182,30097.59304
65.0,5841,30174.133405
48.0,4365,30229.730792
27.0,3810,30281.717078
33.0,3657,30322.770599
63.0,4520,30373.920237
44.0,3874,30427.652334
36.0,3892,30492.396809
24.0,2854,30529.788872
70.0,5326,30624.202571
29.0,3746,30675.970993
34.0,3457,30723.652756
27.0,3733,30790.057621
43.0,4746,30852.847147
42.0,3772,30924.278418
51.0,5238,31030.912967
49.0,5009,31098.464129
46.0,4826,31168.279271
41.0,4432,31259.121321
53.0,3300,31303.614371
43.0,4288,31359.639365
39.0,2777,31420.542059
19.0,1746,31439.802438
52.0,4457,31492.111633
28.0,4068,31547.251391
32.0,3455,31605.108414
29.0,4306,31661.225957
50.0,4113,31717.148409
87.0,6720,31838.182405
51.0,3285,31885.174048
42.0,4178,31930.987019
43.0,3265,31981.145073
42.0,4246,32027.925294
70.0,5179,32088.319664
35.0,4035,32150.946022
75.0,5148,32211.835608
27.0,3359,32249.159014
43.0,3969,32318.007345
50.0,4983,32384.298182
70.0,6012,32487.006203
52.0,4838,32551.245267
59.0,5116,32612.772962
54.0,4718,32681.190003
39.0,4616,32736.749103
23.0,2209,32760.286628
68.0,4439,32828.330715
25.0,3352,32862.985731
47.0,4089,32908.80424
33.0,3472,32948.081384
56.0,5302,33021.367211
50.0,4353,33067.359275
59.0,6010,33156.340624
47.0,4417,33203.479394
56.0,4413,33256.338124
38.0,3203,33314.231617
29.0,2551,33342.307645
50.0,4635,33393.285187
58.0,5002,33458.226795
41.0,4813,33513.303167
23.0,2045,33540.858046
33.0,3241,33585.465799
72.0,6381,33693.080083
59.0,4426,33759.61075
39.0,3434,33820.989125
96.0,6617,33906.547131
38.0,3352,33946.852138
54.0,4353,34037.545358
44.0,3922,34091.076747
31.0,3450,34137.844933
45.0,4568,34203.938249
72.0,5618,34285.077028
61.0,4745,34352.96326
54.0,4622,34419.975557
77.0,5204,34476.794657
50.0,4145,34539.159551
47.0,5403,34597.127505
44.0,4332,34647.362878
46.0,4009,34707.423993
58.0,5488,34769.081771
37.0,4278,34815.053756
30.0,2768,34866.047338
55.0,4610,34916.533789
52.0,5514,34977.923666
68.0,4901,35056.198845
46.0,4262,35117.130837
73.0,6668,35217.511377
33.0,3768,35272.337229
53.0,4536,35328.264646
42.0,4135,35397.71181
76.0,6097,35467.929571
55.0,4678,35518.687019
51.0,3061,35570.724118
49.0,4613,35622.314151
65.0,5235,35680.542899
47.0,4120,35743.338982
59.0,4884,35797.801093
55.0,4836,35867.656211
65.0,5436,35943.824863
64.0,5459,36014.70708
60.0,4004,36096.699315
53.0,3962,36151.048266
36.0,2645,36188.874586
72.0,5303,36273.521127
39.0,4203,36329.087575
53.0,5024,36393.091815
59.0,4274,36467.73698
43.0,3203,36507.276867
69.0,4613,36570.718618
66.0,4349,36643.576445
62.0,5878,36720.067105
45.0,3892,36772.218078
80.0,6164,36871.760499
35.0,4042,36919.807365
50.0,4164,36990.575293
32.0,4085,37050.376317
57.0,5368,37114.527181
33.0,3920,37184.981489
72.0,4884,37247.329608
33.0,3760,37287.07025
38.0,3509,37341.653832
59.0,5159,37404.996519
44.0,3641,37447.656219
86.0,6356,37539.364916
66.0,3929,37589.419627
80.0,4885,37676.521561
34.0,3275,37722.188936
41.0,3770,37771.503653
64.0,4814,37842.483086
56.0,5251,37918.289268
75.0,5891,37980.695338
67.0,5454,38058.457719
26.0,3687,38100.975694
77.0,6045,38206.151428
71.0,5602,38277.063829
65.0,5544,38352.330246
64.0,5245,38428.599373
59.0,4791,38493.052613
47.0,3773,38545.974795
56.0,4451,38626.229183
65.0,6094,38708.056335
69.0,5324,38795.025368
60.0,5114,38868.694589
43.0,4803,38947.285386
89.0,6923,39046.089937
53.0,5460,39112.225983
55.0,4803,39199.75128
42.0,3485,39244.979617
48.0,4694,39323.592728
54.0,5606,39392.010632
43.0,4617,39451.713052
48.0,5132,39530.452827
52.0,4639,39588.169426
55.0,4824,39647.379074
57.0,4941,39717.181057
61.0,5283,39787.796859
64.0,6163,39870.410029
38.0,3601,39909.797109
45.0,4629,39961.053912
47.0,4976,40033.42341
59.0,4965,40085.643133
70.0,6270,40172.430392
52.0,5266,40233.547222
32.0,3599,40272.749532
54.0,4441,40336.295558
68.0,5662,40409.218725
34.0,4367,40478.484958
62.0,4429,40534.588729
54.0,4542,40597.649798
39.0,4102,40662.282762
89.0,4651,40723.006458
58.0,5544,40790.166123
47.0,4727,40880.411991
91.0,6048,40957.841078
32.0,3429,41010.151222
54.0,4186,41066.342783
55.0,5447,41138.053004
86.0,6295,41235.022174
62.0,5410,41305.053112
29.0,3880,41358.848754
40.0,3667,41416.150719
61.0,6145,41491.457503
46.0,4245,41570.943641
81.0,6048,41656.871447
48.0,5056,41716.160108
44.0,4185,41778.36021
57.0,4983,41847.180387
69.0,5011,41940.757641
81.0,5459,42007.701928
61.0,5029,42067.323333
45.0,3141,42126.266469
60.0,4747,42187.384226
54.0,4546,42246.870785
73.0,6439,42342.649376
82.0,6145,42419.090317
55.0,5074,42499.599679
77.0,6210,42589.789068
41.0,3513,42650.870596
57.0,4793,42704.788902
63.0,5896,42771.677566
35.0,3597,42845.679127
34.0,3284,42884.333348
53.0,4932,42952.535547
64.0,6037,43061.728088
41.0,3277,43097.856067
54.0,5529,43165.74946
62.0,5752,43271.61139
41.0,4085,43325.669483
40.0,4101,43407.578036
71.0,5931,43485.091033
68.0,5183,43556.88288
64.0,5381,43632.006983
65.0,4884,43692.639601
47.0,3738,43756.012573
69.0,5496,43816.133421
55.0,5388,43882.970096
52.0,3863,43947.428021
63.0,4725,44011.528124
41.0,3714,44060.522502
63.0,3779,44129.977468
28.0,2765,44166.537743
79.0,5762,44242.661525
71.0,5185,44334.675309
49.0,4355,44388.921373
46.0,4401,44451.60049
90.0,6432,44551.352827
70.0,6036,44628.333857
79.0,5011,44719.735773
39.0,3772,44772.932645
66.0,5667,44868.645003
37.0,3742,44917.240069
72.0,5221,44982.920898
58.0,5918,45072.184759
47.0,4168,45122.276908
65.0,4859,45184.911328
47.0,3863,45246.722326
59.0,2838,45283.721909
39.0,4306,45343.217235
71.0,5183,45427.498767
56.0,4066,45473.228724
42.0,4393,45520.634097
56.0,4537,45587.357493
91.0,5812,45656.455012
81.0,5175,45734.877961
70.0,6363,45816.386222
40.0,3269,45855.304892
86.0,5998,45957.728921
55.0,4533,46018.443159
48.0,4785,46096.234671
39.0,3201,46137.246931
57.0,4406,46197.429556
63.0,4428,46266.465564
69.0,4177,46314.124329
60.0,4641,46365.926339
49.0,4500,46433.647184
51.0,4622,46485.193054
46.0,4166,46531.145775
86.0,5971,46612.498017
